transaction_id,customer_id,transaction_type,amount,currency,transaction_date
1000142,110,in,121.32,EUR,2022-01-02
1000145,568,in,352.41,EUR,2022-01-03
1000147,158,in,265.33,EUR,2022-01-03
1000148,1443,in,311.77,EUR,2022-01-03
1000150,3116,out,333.03,EUR,2022-01-03
1000151,2050,out,135.35,EUR,2022-01-03
1000152,1613,in,332.25,EUR,2022-01-03
1000153,2071,in,597.46,EUR,2022-01-03
1000159,107,out,472.88,EUR,2022-01-03
1000160,589,in,421.81,EUR,2022-01-03
1000165,1816,in,144.75,EUR,2022-01-03
1000166,1998,in,379.41,EUR,2022-01-03
1000167,2557,in,30.94,EUR,2022-01-03
1000174,3257,in,502.38,EUR,2022-01-03
1000178,43,out,345.84,EUR,2022-01-03
1000179,1413,in,29.77,EUR,2022-01-03
1000180,1413,out,236.4,EUR,2022-01-03
1000181,3465,in,176.91,EUR,2022-01-03
1000185,2343,in,465.88,EUR,2022-01-03
1000188,2474,out,276.14,EUR,2022-01-03
1000191,3780,out,341.98,EUR,2022-01-03
1000192,1905,in,357.19,EUR,2022-01-03
1000198,154,in,44.97,EUR,2022-01-03
1000199,3704,in,395.39,EUR,2022-01-03
1000201,169,out,150.08,EUR,2022-01-03
1000211,2254,in,474.93,EUR,2022-01-04
1000217,3797,in,335.21,EUR,2022-01-04
1000219,1609,out,297.28,EUR,2022-01-04
1000222,1647,out,206.99,EUR,2022-01-04
1000224,3747,out,416.23,EUR,2022-01-04
1000225,1581,out,151.48,EUR,2022-01-04
1000227,2409,out,477.57,EUR,2022-01-04
1000229,3248,out,365.13,EUR,2022-01-04
1000232,3853,out,448.38,EUR,2022-01-04
1000233,1160,in,216.29,EUR,2022-01-04
1000235,1605,out,53.44,EUR,2022-01-04
1000236,3527,out,5.04,EUR,2022-01-04
1000237,384,out,543.41,EUR,2022-01-04
1000241,2642,out,470.95,EUR,2022-01-04
1000242,3458,in,45.82,EUR,2022-01-04
1000243,625,in,347.78,EUR,2022-01-04
1000249,659,in,274.07,EUR,2022-01-04
1000252,2483,out,12.45,EUR,2022-01-04
1000254,3373,in,78.02,EUR,2022-01-04
1000255,2883,out,142.46,EUR,2022-01-04
1000261,1886,out,2.14,EUR,2022-01-04
1000263,25,out,336.69,EUR,2022-01-04
1000266,3090,in,79.47,EUR,2022-01-04
1000268,1407,out,417.96,EUR,2022-01-04
1000269,348,out,405.09,EUR,2022-01-04
1000271,281,out,317.9,EUR,2022-01-04
1000274,107,out,388.96,EUR,2022-01-05
1000275,843,out,462.09,EUR,2022-01-05
1000282,888,in,70.98,EUR,2022-01-05
1000283,2990,in,468.83,EUR,2022-01-05
1000284,55,in,441.87,EUR,2022-01-05
1000286,107,out,572.2,EUR,2022-01-05
1000287,184,in,4.82,EUR,2022-01-05
1000288,2337,out,179.62,EUR,2022-01-05
1000292,3291,in,596.06,EUR,2022-01-05
1000293,2704,out,589.59,EUR,2022-01-05
1000299,1884,out,454.48,EUR,2022-01-05
1000302,2217,in,243.53,EUR,2022-01-05
1000304,2400,in,494.85,EUR,2022-01-05
1000308,2308,in,384.61,EUR,2022-01-05
1000311,1083,out,100.97,EUR,2022-01-05
1000313,3097,out,483.95,EUR,2022-01-05
1000314,2003,in,213.95,EUR,2022-01-05
1000317,1345,in,177.06,EUR,2022-01-05
1000318,3356,in,118.86,EUR,2022-01-05
1000320,183,out,104.25,EUR,2022-01-05
1000321,1209,in,380.97,EUR,2022-01-05
1000322,595,in,28.34,EUR,2022-01-05
1000324,265,in,591.07,EUR,2022-01-05
1000325,1272,out,295.88,EUR,2022-01-05
1000326,3126,out,40.78,EUR,2022-01-05
1000330,1929,in,210.66,EUR,2022-01-05
1000331,2295,in,382.31,EUR,2022-01-05
1000337,1780,in,295.7,EUR,2022-01-05
1000339,3010,in,296.14,EUR,2022-01-05
1000340,493,out,291.25,EUR,2022-01-05
1000343,2446,out,183.91,EUR,2022-01-06
1000345,627,in,422.39,EUR,2022-01-06
1000348,2581,out,385.72,EUR,2022-01-06
1000350,990,out,130.83,EUR,2022-01-06
1000352,1494,out,24.32,EUR,2022-01-06
1000354,588,out,99.1,EUR,2022-01-06
1000356,2289,in,60.15,EUR,2022-01-06
1000357,1156,in,518.06,EUR,2022-01-06
1000362,3437,out,386.36,EUR,2022-01-06
1000363,1866,out,423.91,EUR,2022-01-06
1000364,2436,in,156.27,EUR,2022-01-06
1000366,3632,out,95.87,EUR,2022-01-06
1000367,240,in,574.47,EUR,2022-01-06
1000368,2386,out,530.63,EUR,2022-01-06
1000369,1474,out,380.02,EUR,2022-01-06
1000374,800,in,241.39,EUR,2022-01-06
1000376,2487,in,99.04,EUR,2022-01-06
1000378,1765,in,468.26,EUR,2022-01-06
1000380,1263,in,354.62,EUR,2022-01-06
1000381,3041,out,215.27,EUR,2022-01-06
1000382,1608,in,379.5,EUR,2022-01-06
1000388,218,in,103.75,EUR,2022-01-06
1000390,2424,in,416.05,EUR,2022-01-06
1000394,3379,out,196.58,EUR,2022-01-06
1000395,2137,out,335.11,EUR,2022-01-06
1000402,3268,out,266.51,EUR,2022-01-06
1000404,515,out,597.22,EUR,2022-01-06
1000405,871,out,399.32,EUR,2022-01-06
1000406,1030,in,305.45,EUR,2022-01-06
1000408,2381,out,283.05,EUR,2022-01-06
1000421,3521,in,335.18,EUR,2022-01-07
1000424,2131,in,473.47,EUR,2022-01-07
1000427,2991,out,302.25,EUR,2022-01-07
1000428,1040,out,476.85,EUR,2022-01-07
1000429,3725,in,56.34,EUR,2022-01-07
1000430,1043,in,362.39,EUR,2022-01-07
1000431,422,out,584.92,EUR,2022-01-07
1000434,1055,out,92.2,EUR,2022-01-07
1000440,359,out,74.62,EUR,2022-01-07
1000442,3353,in,423.0,EUR,2022-01-07
1000445,2098,out,317.23,EUR,2022-01-07
1000448,459,out,222.88,EUR,2022-01-07
1000456,3597,out,212.75,EUR,2022-01-07
1000457,1571,in,566.65,EUR,2022-01-07
1000461,1781,in,124.35,EUR,2022-01-07
1000462,3670,out,286.82,EUR,2022-01-07
1000466,1399,in,41.46,EUR,2022-01-07
1000469,1223,in,529.14,EUR,2022-01-07
1000470,3513,out,349.14,EUR,2022-01-07
1000472,3768,in,523.33,EUR,2022-01-07
1000475,3025,out,215.47,EUR,2022-01-07
1000476,3489,in,432.23,EUR,2022-01-07
1000477,927,in,472.79,EUR,2022-01-07
1000483,3091,out,319.98,EUR,2022-01-07
1000484,1808,in,225.92,EUR,2022-01-07
1000490,662,in,30.46,EUR,2022-01-08
1000492,3400,out,244.97,EUR,2022-01-08
1000495,2845,out,236.27,EUR,2022-01-08
1000499,535,out,564.24,EUR,2022-01-08
1000503,2971,out,591.39,EUR,2022-01-08
1000505,2908,in,573.19,EUR,2022-01-08
1000507,868,in,23.84,EUR,2022-01-08
1000512,739,out,222.63,EUR,2022-01-08
1000516,153,in,3.98,EUR,2022-01-08
1000518,1523,out,564.09,EUR,2022-01-08
1000521,3654,out,582.0,EUR,2022-01-08
1000522,3293,out,560.89,EUR,2022-01-08
1000527,854,out,334.72,EUR,2022-01-08
1000528,3712,out,508.28,EUR,2022-01-08
1000529,3009,in,274.54,EUR,2022-01-08
1000538,1262,in,449.44,EUR,2022-01-08
1000540,3316,in,398.85,EUR,2022-01-08
1000547,3354,out,298.43,EUR,2022-01-08
1000552,3607,out,554.49,EUR,2022-01-09
1000554,3304,out,203.85,EUR,2022-01-09
1000556,584,in,51.45,EUR,2022-01-09
1000557,2439,in,459.81,EUR,2022-01-09
1000562,1750,out,536.03,EUR,2022-01-09
1000563,3427,in,348.76,EUR,2022-01-09
1000566,1693,in,13.84,EUR,2022-01-09
1000569,15,in,415.66,EUR,2022-01-09
1000570,3743,in,39.99,EUR,2022-01-09
1000571,2683,in,49.06,EUR,2022-01-09
1000573,769,in,447.52,EUR,2022-01-09
1000576,3023,out,464.24,EUR,2022-01-09
1000577,2079,in,89.06,EUR,2022-01-09
1000578,209,out,449.47,EUR,2022-01-09
1000580,3163,out,190.82,EUR,2022-01-09
1000585,1298,in,100.81,EUR,2022-01-09
1000590,2164,out,262.63,EUR,2022-01-09
1000595,1977,out,131.91,EUR,2022-01-09
1000599,2454,in,233.05,EUR,2022-01-09
1000602,3509,in,162.33,EUR,2022-01-09
1000603,920,out,38.81,EUR,2022-01-09
1000605,1860,in,496.44,EUR,2022-01-09
1000608,860,in,272.29,EUR,2022-01-09
1000609,2412,out,305.04,EUR,2022-01-09
1000611,1207,in,495.27,EUR,2022-01-09
1000619,2635,in,466.01,EUR,2022-01-09
1000622,2335,out,136.04,EUR,2022-01-09
1000630,1567,in,397.49,EUR,2022-01-09
1000633,955,out,45.45,EUR,2022-01-09
1000635,1458,out,523.17,EUR,2022-01-09
1000638,1042,in,329.68,EUR,2022-01-10
1000639,3826,out,293.36,EUR,2022-01-10
1000645,2799,in,469.42,EUR,2022-01-10
1000648,2370,out,258.42,EUR,2022-01-10
1000650,322,in,47.46,EUR,2022-01-10
1000658,1214,out,570.58,EUR,2022-01-10
1000659,322,in,106.56,EUR,2022-01-10
1000662,1500,out,198.58,EUR,2022-01-10
1000664,3135,in,495.96,EUR,2022-01-10
1000667,6,out,140.91,EUR,2022-01-10
1000670,767,out,553.51,EUR,2022-01-10
1000671,159,out,511.98,EUR,2022-01-10
1000673,1249,out,586.01,EUR,2022-01-10
1000676,256,in,288.07,EUR,2022-01-10
1000677,884,out,301.23,EUR,2022-01-10
1000678,3161,in,35.6,EUR,2022-01-10
1000679,365,in,413.13,EUR,2022-01-10
1000681,1914,in,439.14,EUR,2022-01-10
1000682,2520,in,196.25,EUR,2022-01-10
1000687,630,out,63.8,EUR,2022-01-10
1000688,2674,in,214.07,EUR,2022-01-10
1000689,2118,in,15.97,EUR,2022-01-10
1000691,1443,out,285.23,EUR,2022-01-10
1000694,835,in,552.48,EUR,2022-01-10
1000695,2621,in,28.72,EUR,2022-01-10
1000700,2594,in,414.2,EUR,2022-01-11
1000702,3760,out,337.45,EUR,2022-01-11
1000703,898,out,104.06,EUR,2022-01-11
1000705,1977,out,338.58,EUR,2022-01-11
1000708,501,in,479.57,EUR,2022-01-11
1000712,469,out,579.18,EUR,2022-01-11
1000716,1345,in,242.56,EUR,2022-01-11
1000717,2237,out,570.97,EUR,2022-01-11
1000721,352,in,490.36,EUR,2022-01-11
1000723,1383,out,469.85,EUR,2022-01-11
1000724,953,out,108.83,EUR,2022-01-11
1000726,868,in,570.87,EUR,2022-01-11
1000729,1021,in,336.01,EUR,2022-01-11
1000730,2013,in,522.58,EUR,2022-01-11
1000733,1607,out,102.46,EUR,2022-01-11
1000734,1887,out,222.76,EUR,2022-01-11
1000735,2358,out,257.1,EUR,2022-01-11
1000736,323,in,42.3,EUR,2022-01-11
1000744,3103,in,195.71,EUR,2022-01-11
1000747,559,in,493.41,EUR,2022-01-11
1000748,1518,out,68.4,EUR,2022-01-11
1000749,283,in,77.7,EUR,2022-01-11
1000751,1430,in,572.96,EUR,2022-01-11
1000752,80,out,595.11,EUR,2022-01-11
1000754,629,in,454.98,EUR,2022-01-11
1000755,2585,out,17.65,EUR,2022-01-11
1000758,1523,out,392.59,EUR,2022-01-11
1000759,51,in,41.97,EUR,2022-01-11
1000762,1944,out,397.28,EUR,2022-01-11
1000764,1136,out,92.69,EUR,2022-01-12
1000768,1128,out,580.11,EUR,2022-01-12
1000771,3270,in,299.93,EUR,2022-01-12
1000775,1240,out,213.71,EUR,2022-01-12
1000779,1617,in,494.91,EUR,2022-01-12
1000785,391,in,273.16,EUR,2022-01-12
1000788,2063,in,402.45,EUR,2022-01-12
1000790,3392,in,595.67,EUR,2022-01-12
1000791,2035,in,397.77,EUR,2022-01-12
1000793,1061,in,167.82,EUR,2022-01-12
1000794,1911,in,97.89,EUR,2022-01-12
1000795,687,out,6.79,EUR,2022-01-12
1000796,2655,out,546.89,EUR,2022-01-12
1000797,1919,out,548.9,EUR,2022-01-12
1000800,1331,in,329.7,EUR,2022-01-12
1000804,3001,in,329.56,EUR,2022-01-12
1000805,1458,out,200.7,EUR,2022-01-12
1000809,2118,in,357.89,EUR,2022-01-12
1000813,170,out,576.65,EUR,2022-01-12
1000815,2563,in,180.59,EUR,2022-01-12
1000817,678,out,59.85,EUR,2022-01-12
1000818,2816,in,495.51,EUR,2022-01-12
1000819,2787,out,593.03,EUR,2022-01-12
1000821,410,in,456.79,EUR,2022-01-12
1000824,3194,in,76.22,EUR,2022-01-12
1000825,3817,out,113.08,EUR,2022-01-12
1000834,3294,in,555.14,EUR,2022-01-13
1000840,3618,in,458.3,EUR,2022-01-13
1000843,3481,out,368.21,EUR,2022-01-13
1000845,492,in,144.24,EUR,2022-01-13
1000846,3353,out,117.64,EUR,2022-01-13
1000847,75,in,354.8,EUR,2022-01-13
1000849,2932,in,557.33,EUR,2022-01-13
1000851,210,in,515.28,EUR,2022-01-13
1000854,2557,in,124.1,EUR,2022-01-13
1000856,1888,out,95.21,EUR,2022-01-13
1000857,1429,out,81.99,EUR,2022-01-13
1000858,2867,out,338.23,EUR,2022-01-13
1000859,992,in,431.73,EUR,2022-01-13
1000861,2425,in,463.72,EUR,2022-01-13
1000868,1491,in,455.85,EUR,2022-01-13
1000871,864,in,398.36,EUR,2022-01-13
1000874,2021,out,28.88,EUR,2022-01-13
1000877,439,out,465.21,EUR,2022-01-13
1000880,897,out,85.67,EUR,2022-01-13
1000883,743,in,54.54,EUR,2022-01-13
1000885,75,out,509.36,EUR,2022-01-13
1000888,2255,in,429.33,EUR,2022-01-13
1000890,890,out,307.9,EUR,2022-01-13
1000891,3041,out,537.34,EUR,2022-01-13
1000900,1161,in,508.62,EUR,2022-01-14
1000906,918,in,284.03,EUR,2022-01-14
1000907,2351,out,73.12,EUR,2022-01-14
1000909,1290,in,541.19,EUR,2022-01-14
1000912,460,out,5.22,EUR,2022-01-14
1000914,448,in,366.46,EUR,2022-01-14
1000915,3391,out,510.93,EUR,2022-01-14
1000916,2225,in,330.48,EUR,2022-01-14
1000919,2459,in,154.68,EUR,2022-01-14
1000920,237,in,212.39,EUR,2022-01-14
1000923,581,in,4.08,EUR,2022-01-14
1000928,3189,in,331.4,EUR,2022-01-14
1000929,151,in,2.13,EUR,2022-01-14
1000930,2636,in,360.7,EUR,2022-01-14
1000932,976,out,104.99,EUR,2022-01-14
1000935,417,in,7.19,EUR,2022-01-14
1000936,1768,out,538.66,EUR,2022-01-14
1000937,2061,out,177.48,EUR,2022-01-14
1000938,3440,in,37.58,EUR,2022-01-14
1000939,303,out,421.47,EUR,2022-01-14
1000940,2545,in,534.89,EUR,2022-01-14
1000942,243,out,419.0,EUR,2022-01-14
1000947,1252,out,262.84,EUR,2022-01-14
1000951,170,out,514.16,EUR,2022-01-14
1000953,2953,out,287.67,EUR,2022-01-14
1000960,429,in,528.84,EUR,2022-01-14
1000961,2378,out,105.24,EUR,2022-01-14
1000968,3600,out,427.68,EUR,2022-01-14
1000969,2177,in,466.08,EUR,2022-01-14
1000970,2794,out,576.58,EUR,2022-01-14
1000973,2901,in,77.06,EUR,2022-01-14
1000976,1876,in,188.97,EUR,2022-01-15
1000977,3791,out,262.58,EUR,2022-01-15
1000981,2630,in,541.67,EUR,2022-01-15
1000982,3703,out,146.94,EUR,2022-01-15
1000983,3596,out,429.02,EUR,2022-01-15
1000986,1475,out,486.25,EUR,2022-01-15
1000987,2040,out,572.71,EUR,2022-01-15
1000988,2089,out,174.88,EUR,2022-01-15
1000989,2627,out,533.39,EUR,2022-01-15
1000993,1843,in,265.21,EUR,2022-01-15
1000997,2878,out,312.97,EUR,2022-01-15
1001001,1354,out,286.1,EUR,2022-01-15
1001004,860,in,593.27,EUR,2022-01-15
1001010,1451,out,228.63,EUR,2022-01-15
1001012,2409,out,10.97,EUR,2022-01-15
1001016,898,out,476.91,EUR,2022-01-15
1001020,3481,out,204.24,EUR,2022-01-15
1001021,2077,in,333.2,EUR,2022-01-15
1001024,2281,out,322.49,EUR,2022-01-15
1001026,1406,out,221.56,EUR,2022-01-15
1001027,1763,in,9.7,EUR,2022-01-15
1001028,1527,in,224.04,EUR,2022-01-15
1001030,1063,in,156.33,EUR,2022-01-15
1001031,1730,out,72.92,EUR,2022-01-15
1001033,1652,out,254.51,EUR,2022-01-15
1001034,1517,out,227.96,EUR,2022-01-15
1001035,333,in,332.76,EUR,2022-01-15
1001037,519,out,249.69,EUR,2022-01-15
1001039,1973,in,166.39,EUR,2022-01-15
1001041,787,out,362.57,EUR,2022-01-16
1001042,89,in,390.17,EUR,2022-01-16
1001047,3756,in,480.21,EUR,2022-01-16
1001049,1592,out,519.8,EUR,2022-01-16
1001050,2623,out,579.33,EUR,2022-01-16
1001053,2268,out,283.44,EUR,2022-01-16
1001054,1300,in,72.06,EUR,2022-01-16
1001057,3093,in,64.6,EUR,2022-01-16
1001061,2929,out,179.3,EUR,2022-01-16
1001062,2626,in,50.72,EUR,2022-01-16
1001063,1222,out,575.71,EUR,2022-01-16
1001065,1009,in,326.12,EUR,2022-01-16
1001067,1692,in,468.58,EUR,2022-01-16
1001068,3406,in,290.75,EUR,2022-01-16
1001070,3184,in,44.87,EUR,2022-01-16
1001071,2605,in,337.22,EUR,2022-01-16
1001072,3674,out,576.71,EUR,2022-01-16
1001074,2834,in,192.41,EUR,2022-01-16
1001075,856,out,113.51,EUR,2022-01-16
1001077,3113,out,184.74,EUR,2022-01-16
1001078,3136,out,348.14,EUR,2022-01-16
1001079,2106,out,590.24,EUR,2022-01-16
1001081,3423,out,232.77,EUR,2022-01-16
1001083,3151,in,455.89,EUR,2022-01-16
1001084,1110,in,39.55,EUR,2022-01-16
1001088,2406,out,519.79,EUR,2022-01-16
1001092,1446,out,530.38,EUR,2022-01-16
1001093,570,out,245.89,EUR,2022-01-16
1001094,1477,in,564.02,EUR,2022-01-16
1001095,2443,out,236.33,EUR,2022-01-16
1001096,839,in,310.39,EUR,2022-01-16
1001100,624,out,39.23,EUR,2022-01-16
1001105,1876,out,490.47,EUR,2022-01-16
1001106,1473,in,207.17,EUR,2022-01-16
1001109,761,out,162.89,EUR,2022-01-16
1001111,195,out,62.57,EUR,2022-01-16
1001113,793,out,295.07,EUR,2022-01-16
1001116,3333,in,592.51,EUR,2022-01-17
1001121,1646,out,294.11,EUR,2022-01-17
1001123,310,in,373.45,EUR,2022-01-17
1001124,1162,in,460.07,EUR,2022-01-17
1001125,3322,out,514.26,EUR,2022-01-17
1001126,427,in,552.0,EUR,2022-01-17
1001130,2350,out,53.87,EUR,2022-01-17
1001131,1100,out,381.08,EUR,2022-01-17
1001133,2990,in,443.03,EUR,2022-01-17
1001136,3863,out,348.65,EUR,2022-01-17
1001142,2123,in,202.78,EUR,2022-01-17
1001144,2302,in,138.07,EUR,2022-01-17
1001153,3382,in,596.2,EUR,2022-01-17
1001158,1040,in,96.85,EUR,2022-01-17
1001160,3160,out,598.72,EUR,2022-01-17
1001163,2700,out,301.37,EUR,2022-01-17
1001164,3391,out,492.86,EUR,2022-01-17
1001168,3265,in,318.45,EUR,2022-01-17
1001171,3466,out,321.34,EUR,2022-01-17
1001174,3697,out,235.07,EUR,2022-01-17
1001175,1524,in,246.37,EUR,2022-01-17
1001179,3174,out,393.65,EUR,2022-01-18
1001180,982,out,4.3,EUR,2022-01-18
1001182,1455,in,153.76,EUR,2022-01-18
1001183,1162,in,438.85,EUR,2022-01-18
1001184,3475,out,509.59,EUR,2022-01-18
1001186,3104,in,120.03,EUR,2022-01-18
1001188,471,in,469.66,EUR,2022-01-18
1001193,1778,in,557.14,EUR,2022-01-18
1001194,3032,in,494.35,EUR,2022-01-18
1001195,3149,out,580.36,EUR,2022-01-18
1001196,2869,out,403.55,EUR,2022-01-18
1001198,3014,in,347.16,EUR,2022-01-18
1001200,2374,out,42.64,EUR,2022-01-18
1001202,433,in,247.62,EUR,2022-01-18
1001203,1416,in,500.4,EUR,2022-01-18
1001209,2822,out,292.68,EUR,2022-01-18
1001211,209,out,230.37,EUR,2022-01-18
1001215,2049,in,348.37,EUR,2022-01-18
1001219,1153,out,288.94,EUR,2022-01-18
1001220,2236,out,61.98,EUR,2022-01-18
1001226,1104,out,53.98,EUR,2022-01-18
1001230,2100,out,554.83,EUR,2022-01-18
1001231,3507,in,501.28,EUR,2022-01-18
1001233,2734,in,120.55,EUR,2022-01-18
1001235,2832,out,566.07,EUR,2022-01-18
1001237,1294,in,36.52,EUR,2022-01-18
1001243,3418,in,511.4,EUR,2022-01-19
1001245,3262,out,322.29,EUR,2022-01-19
1001246,1178,out,345.76,EUR,2022-01-19
1001247,1827,in,130.7,EUR,2022-01-19
1001252,217,out,587.47,EUR,2022-01-19
1001257,2307,in,568.34,EUR,2022-01-19
1001261,1266,out,561.12,EUR,2022-01-19
1001262,1876,out,302.34,EUR,2022-01-19
1001264,2623,out,395.75,EUR,2022-01-19
1001266,3535,out,203.36,EUR,2022-01-19
1001269,1915,out,412.82,EUR,2022-01-19
1001274,898,out,588.23,EUR,2022-01-19
1001275,3504,in,259.27,EUR,2022-01-19
1001283,3522,in,235.64,EUR,2022-01-19
1001284,1827,in,460.63,EUR,2022-01-19
1001291,1503,out,103.15,EUR,2022-01-19
1001293,890,out,397.17,EUR,2022-01-19
1001296,3216,out,210.15,EUR,2022-01-19
1001297,2415,in,463.31,EUR,2022-01-19
1001300,2530,in,213.1,EUR,2022-01-19
1001301,1033,in,533.03,EUR,2022-01-19
1001302,1612,in,488.79,EUR,2022-01-19
1001303,723,out,583.1,EUR,2022-01-19
1001306,3636,out,273.99,EUR,2022-01-19
1001308,715,in,358.15,EUR,2022-01-19
1001310,155,in,548.64,EUR,2022-01-19
1001313,2749,out,257.92,EUR,2022-01-20
1001315,3622,in,284.13,EUR,2022-01-20
1001317,575,out,527.47,EUR,2022-01-20
1001323,3024,in,36.44,EUR,2022-01-20
1001325,1772,in,471.84,EUR,2022-01-20
1001326,591,out,175.82,EUR,2022-01-20
1001328,270,out,215.82,EUR,2022-01-20
1001331,2205,out,124.06,EUR,2022-01-20
1001336,2405,out,46.7,EUR,2022-01-20
1001338,2487,in,420.03,EUR,2022-01-20
1001347,1427,out,453.3,EUR,2022-01-20
1001348,1082,in,50.86,EUR,2022-01-20
1001350,1498,out,89.64,EUR,2022-01-20
1001351,318,in,220.76,EUR,2022-01-20
1001352,12,out,593.2,EUR,2022-01-20
1001354,3281,out,183.86,EUR,2022-01-20
1001355,2556,in,489.2,EUR,2022-01-20
1001356,3082,out,548.67,EUR,2022-01-20
1001358,1159,out,280.97,EUR,2022-01-20
1001362,663,in,4.24,EUR,2022-01-20
1001363,2501,in,207.46,EUR,2022-01-20
1001368,3445,out,440.78,EUR,2022-01-20
1001370,1089,out,68.9,EUR,2022-01-20
1001371,1222,out,440.33,EUR,2022-01-20
1001375,634,in,269.69,EUR,2022-01-20
1001378,3291,in,590.2,EUR,2022-01-20
1001379,1081,in,208.57,EUR,2022-01-20
1001382,81,out,223.76,EUR,2022-01-20
1001383,949,in,139.82,EUR,2022-01-20
1001398,1172,out,106.42,EUR,2022-01-21
1001404,2772,in,20.16,EUR,2022-01-21
1001405,287,in,207.49,EUR,2022-01-21
1001409,2026,in,325.73,EUR,2022-01-21
1001410,3690,out,593.31,EUR,2022-01-21
1001411,648,out,219.55,EUR,2022-01-21
1001417,260,out,459.96,EUR,2022-01-21
1001418,1852,out,588.54,EUR,2022-01-21
1001419,3193,in,50.72,EUR,2022-01-21
1001421,1283,out,74.47,EUR,2022-01-21
1001423,886,out,512.73,EUR,2022-01-21
1001426,1001,in,226.47,EUR,2022-01-21
1001427,2871,out,504.44,EUR,2022-01-21
1001431,3481,out,569.58,EUR,2022-01-21
1001432,3190,in,25.13,EUR,2022-01-21
1001440,3315,out,428.22,EUR,2022-01-21
1001442,3552,out,529.23,EUR,2022-01-21
1001445,2271,in,571.92,EUR,2022-01-21
1001446,1,in,232.44,EUR,2022-01-21
1001448,2927,in,512.07,EUR,2022-01-21
1001453,2518,out,272.61,EUR,2022-01-21
1001454,55,out,401.84,EUR,2022-01-21
1001459,3301,in,489.68,EUR,2022-01-21
1001461,1276,out,452.21,EUR,2022-01-21
1001462,2750,in,477.93,EUR,2022-01-21
1001464,80,in,87.88,EUR,2022-01-21
1001466,998,out,42.2,EUR,2022-01-21
1001468,3270,in,347.14,EUR,2022-01-22
1001472,2016,out,430.55,EUR,2022-01-22
1001477,3516,in,361.53,EUR,2022-01-22
1001478,3706,out,269.95,EUR,2022-01-22
1001480,24,in,39.9,EUR,2022-01-22
1001482,2521,out,436.24,EUR,2022-01-22
1001483,1788,out,307.38,EUR,2022-01-22
1001484,3017,out,270.12,EUR,2022-01-22
1001485,744,in,391.42,EUR,2022-01-22
1001488,1164,in,98.54,EUR,2022-01-22
1001492,1144,out,506.42,EUR,2022-01-22
1001494,2663,out,232.33,EUR,2022-01-22
1001496,1872,out,29.45,EUR,2022-01-22
